63 -1||| 62 -1||| 61 -1||| 60 -1||| 59 -1||| 58 -1||| 
46 40 -1||| 46 40 -1||| 46 39 -1||| 46 38 -1||| 40 37 -1||| 62 36 1||| 

46 41 -1||| 46 40 -1||| 46 39 -1||| 46 38 -1||| 40 37 -1||| 62 36 1||| 

46 41 -1||| 46 40 -1||| 46 39 -1||| 46 38 -1||| 40 37 -1||| 62 37 1||| 

46 41 -1||| 46 41 -1||| 46 39 -1||| 46 38 -1||| 40 37 -1||| 62 37 1||| 

46 41 -1||| 46 41 -1||| 46 39 -1||| 46 39 -1||| 40 37 -1||| 62 37 1||| 

46 41 -1||| 46 41 -1||| 46 40 -1||| 46 39 -1||| 40 37 -1||| 62 37 1||| 

42 -1||| 41 -1||| 40 -1||| 39 -1||| 37 -1||| 37 1||| 

46 42 -1||| 46 41 -1||| 46 40 -1||| 46 39 -1||| 40 38 -1||| 62 37 1||| 

42 -1||| 42 -1||| 40 -1||| 39 -1||| 38 -1||| 37 1||| 

46 42 -1||| 46 42 -1||| 46 40 -1||| 46 39 -1||| 40 39 -1||| 62 37 1||| 

46 43 -1||| 46 42 -1||| 46 40 -1||| 46 39 -1||| 40 39 -1||| 62 37 1||| 

46 43 -1||| 46 42 -1||| 46 40 -1||| 46 39 -1||| 40 39 -1||| 62 38 1||| 

46 43 -1||| 46 42 -1||| 46 40 -1||| 46 40 -1||| 40 39 -1||| 62 38 1||| 

46 43 -1||| 46 42 -1||| 46 41 -1||| 46 40 -1||| 40 39 -1||| 62 38 1||| 

46 43 -1||| 46 43 -1||| 46 41 -1||| 46 40 -1||| 40 39 -1||| 62 38 1||| 

43 -1||| 43 -1||| 41 -1||| 41 -1||| 39 -1||| 38 1||| 

46 43 -1||| 46 43 -1||| 46 41 -1||| 46 41 -1||| 40 40 -1||| 62 38 1||| 

46 43 -1||| 46 43 -1||| 46 42 -1||| 46 41 -1||| 40 40 -1||| 62 38 1||| 

46 44 -1||| 46 43 -1||| 46 42 -1||| 46 41 -1||| 40 40 -1||| 62 38 1||| 

46 44 -1||| 46 43 -1||| 46 42 -1||| 46 41 -1||| 40 40 -1||| 62 39 1||| 

