63 -1||| 62 -1||| 61 -1||| 60 -1||| 59 -1||| 58 -1||| 

62 40 1||| 62 39 1||| 62 38 1||| 62 36 1||| 43 36 -1||| 62 35 1||| 

62 40 1||| 62 39 1||| 62 38 1||| 62 37 1||| 43 36 -1||| 62 35 1||| 

62 40 1||| 62 39 1||| 62 38 1||| 62 37 1||| 43 37 -1||| 62 35 1||| 

62 40 1||| 62 39 1||| 62 38 1||| 62 38 1||| 43 37 -1||| 62 35 1||| 

62 41 1||| 62 39 1||| 62 38 1||| 62 38 1||| 43 37 -1||| 62 35 1||| 

62 41 1||| 62 40 1||| 62 38 1||| 62 38 1||| 43 37 -1||| 62 35 1||| 

62 41 1||| 62 40 1||| 62 39 1||| 62 38 1||| 43 37 -1||| 62 35 1||| 

62 41 1||| 62 40 1||| 62 39 1||| 62 38 1||| 43 37 -1||| 62 36 1||| 

62 41 1||| 62 40 1||| 62 40 1||| 62 38 1||| 43 37 -1||| 62 36 1||| 

62 41 1||| 62 40 1||| 62 40 1||| 62 39 1||| 43 37 -1||| 62 36 1||| 

62 42 1||| 62 40 1||| 62 40 1||| 62 39 1||| 43 37 -1||| 62 36 1||| 

62 42 1||| 62 40 1||| 62 40 1||| 62 39 1||| 43 38 -1||| 62 36 1||| 

62 42 1||| 62 40 1||| 62 40 1||| 62 39 1||| 43 38 -1||| 62 37 1||| 

62 42 1||| 62 41 1||| 62 40 1||| 62 39 1||| 43 38 -1||| 62 37 1||| 

62 42 1||| 62 41 1||| 62 41 1||| 62 39 1||| 43 38 -1||| 62 37 1||| 

62 43 1||| 62 41 1||| 62 41 1||| 62 39 1||| 43 38 -1||| 62 37 1||| 

62 43 1||| 62 41 1||| 62 41 1||| 62 40 1||| 43 38 -1||| 62 37 1||| 

62 43 1||| 62 41 1||| 62 41 1||| 62 40 1||| 43 39 -1||| 62 37 1||| 

62 43 1||| 62 41 1||| 62 41 1||| 62 40 1||| 43 39 -1||| 62 38 1||| 

62 43 1||| 62 42 1||| 62 41 1||| 62 40 1||| 43 39 -1||| 62 38 1||| 

62 43 1||| 62 42 1||| 62 41 1||| 62 40 1||| 43 40 -1||| 62 38 1||| 

62 44 1||| 62 42 1||| 62 41 1||| 62 40 1||| 43 40 -1||| 62 38 1||| 

62 44 1||| 62 43 1||| 62 41 1||| 62 40 1||| 43 40 -1||| 62 38 1||| 

62 44 1||| 62 43 1||| 62 41 1||| 62 41 1||| 43 40 -1||| 62 38 1||| 

62 44 1||| 62 43 1||| 62 41 1||| 62 41 1||| 43 40 -1||| 62 39 1||| 

62 44 1||| 62 43 1||| 62 42 1||| 62 41 1||| 43 40 -1||| 62 39 1||| 

62 44 1||| 62 43 1||| 62 43 1||| 62 41 1||| 43 40 -1||| 62 39 1||| 

62 44 1||| 62 43 1||| 62 43 1||| 62 42 1||| 43 40 -1||| 62 39 1||| 

62 45 1||| 62 43 1||| 62 43 1||| 62 42 1||| 43 40 -1||| 62 39 1||| 

62 45 1||| 62 43 1||| 62 43 1||| 62 42 1||| 43 40 -1||| 62 40 1||| 

62 45 1||| 62 43 1||| 62 43 1||| 62 42 1||| 43 41 -1||| 62 40 1||| 

62 45 1||| 62 44 1||| 62 43 1||| 62 42 1||| 43 41 -1||| 62 40 1||| 

62 45 1||| 62 44 1||| 62 44 1||| 62 42 1||| 43 41 -1||| 62 40 1||| 

62 46 1||| 62 44 1||| 62 44 1||| 62 42 1||| 43 41 -1||| 62 40 1||| 

62 46 1||| 62 44 1||| 62 44 1||| 62 42 1||| 43 42 -1||| 62 40 1||| 

62 46 1||| 62 44 1||| 62 44 1||| 62 43 1||| 43 42 -1||| 62 40 1||| 

62 46 1||| 62 44 1||| 62 44 1||| 62 43 1||| 43 42 -1||| 62 41 1||| 

62 46 1||| 62 45 1||| 62 44 1||| 62 43 1||| 43 42 -1||| 62 41 1||| 

62 46 1||| 62 46 1||| 62 44 1||| 62 43 1||| 43 42 -1||| 62 41 1||| 

62 46 1||| 62 46 1||| 62 44 1||| 62 43 1||| 43 42 -1||| 62 42 1||| 

62 46 1||| 62 46 1||| 62 44 1||| 62 44 1||| 43 42 -1||| 62 42 1||| 

62 46 1||| 62 46 1||| 62 44 1||| 62 44 1||| 43 43 -1||| 62 42 1||| 

62 47 1||| 62 46 1||| 62 44 1||| 62 44 1||| 43 43 -1||| 62 42 1||| 

62 47 1||| 62 46 1||| 62 45 1||| 62 44 1||| 43 43 -1||| 62 42 1||| 

62 47 1||| 62 46 1||| 62 45 1||| 62 45 1||| 43 43 -1||| 62 42 1||| 

62 47 1||| 62 47 1||| 62 45 1||| 62 45 1||| 43 43 -1||| 62 42 1||| 

62 48 1||| 62 47 1||| 62 45 1||| 62 45 1||| 43 43 -1||| 62 42 1||| 

62 48 1||| 62 47 1||| 62 45 1||| 62 45 1||| 43 43 -1||| 62 43 1||| 

62 48 1||| 62 47 1||| 62 46 1||| 62 45 1||| 43 43 -1||| 62 43 1||| 

62 48 1||| 62 47 1||| 62 46 1||| 62 45 1||| 62 44 1||| 62 43 1||| 

62 48 1||| 62 47 1||| 62 46 1||| 62 45 1||| 62 45 1||| 62 43 1||| 

62 48 1||| 62 48 1||| 62 46 1||| 62 45 1||| 62 45 1||| 62 43 1||| 

62 49 1||| 62 48 1||| 62 46 1||| 62 45 1||| 62 45 1||| 62 43 1||| 

62 49 1||| 62 48 1||| 62 46 1||| 62 45 1||| 62 45 1||| 62 44 1||| 

62 49 1||| 62 48 1||| 62 47 1||| 62 45 1||| 62 45 1||| 62 44 1||| 

62 49 1||| 62 48 1||| 62 47 1||| 62 46 1||| 62 45 1||| 62 44 1||| 

62 50 1||| 62 48 1||| 62 47 1||| 62 46 1||| 62 45 1||| 62 44 1||| 

62 50 1||| 62 48 1||| 62 47 1||| 62 46 1||| 62 45 1||| 62 45 1||| 

62 50 1||| 62 48 1||| 62 47 1||| 62 46 1||| 62 46 1||| 62 45 1||| 

62 50 1||| 62 48 1||| 62 48 1||| 62 46 1||| 62 46 1||| 62 45 1||| 

62 50 1||| 62 48 1||| 62 48 1||| 62 47 1||| 62 46 1||| 62 45 1||| 

62 50 1||| 62 49 1||| 62 48 1||| 62 47 1||| 62 46 1||| 62 45 1||| 

62 50 1||| 62 49 1||| 62 48 1||| 62 47 1||| 62 47 1||| 62 45 1||| 

62 50 1||| 62 50 1||| 62 48 1||| 62 47 1||| 62 47 1||| 62 45 1||| 

62 50 1||| 62 50 1||| 62 48 1||| 62 48 1||| 62 47 1||| 62 45 1||| 

62 50 1||| 62 50 1||| 62 49 1||| 62 48 1||| 62 47 1||| 62 45 1||| 

62 51 1||| 62 50 1||| 62 49 1||| 62 48 1||| 62 47 1||| 62 45 1||| 

62 51 1||| 62 50 1||| 62 49 1||| 62 48 1||| 62 47 1||| 62 46 1||| 

62 51 1||| 62 51 1||| 62 49 1||| 62 48 1||| 62 47 1||| 62 46 1||| 

62 51 1||| 62 51 1||| 62 49 1||| 62 48 1||| 62 48 1||| 62 46 1||| 

62 51 1||| 62 51 1||| 62 49 1||| 62 49 1||| 62 48 1||| 62 46 1||| 

62 52 1||| 62 51 1||| 62 49 1||| 62 49 1||| 62 48 1||| 62 46 1||| 

62 52 1||| 62 51 1||| 62 49 1||| 62 49 1||| 62 48 1||| 62 47 1||| 

62 52 1||| 62 51 1||| 62 50 1||| 62 49 1||| 62 48 1||| 62 47 1||| 

62 52 1||| 62 51 1||| 62 50 1||| 62 49 1||| 62 49 1||| 62 47 1||| 

62 52 1||| 62 51 1||| 62 50 1||| 62 49 1||| 62 49 1||| 62 48 1||| 

62 52 1||| 62 51 1||| 62 51 1||| 62 49 1||| 62 49 1||| 62 48 1||| 

62 52 1||| 62 51 1||| 62 51 1||| 62 50 1||| 62 49 1||| 62 48 1||| 

62 52 1||| 62 52 1||| 62 51 1||| 62 50 1||| 62 49 1||| 62 48 1||| 

62 53 1||| 62 52 1||| 62 51 1||| 62 50 1||| 62 49 1||| 62 48 1||| 

62 53 1||| 62 52 1||| 62 51 1||| 62 51 1||| 62 49 1||| 62 48 1||| 

62 53 1||| 62 53 1||| 62 51 1||| 62 51 1||| 62 49 1||| 62 48 1||| 

62 53 1||| 62 53 1||| 62 51 1||| 62 51 1||| 62 50 1||| 62 48 1||| 

62 54 1||| 62 53 1||| 62 51 1||| 62 51 1||| 62 50 1||| 62 48 1||| 

62 54 1||| 62 53 1||| 62 51 1||| 62 51 1||| 62 50 1||| 62 49 1||| 

62 54 1||| 62 53 1||| 62 52 1||| 62 51 1||| 62 50 1||| 62 49 1||| 

62 54 1||| 62 53 1||| 62 52 1||| 62 52 1||| 62 50 1||| 62 49 1||| 

62 54 1||| 62 53 1||| 62 52 1||| 62 52 1||| 62 50 1||| 62 50 1||| 

62 54 1||| 62 53 1||| 62 52 1||| 62 52 1||| 62 51 1||| 62 50 1||| 

62 54 1||| 62 54 1||| 62 52 1||| 62 52 1||| 62 51 1||| 62 50 1||| 

62 55 1||| 62 54 1||| 62 52 1||| 62 52 1||| 62 51 1||| 62 50 1||| 

62 55 1||| 62 54 1||| 62 53 1||| 62 52 1||| 62 51 1||| 62 50 1||| 

62 55 1||| 62 54 1||| 62 53 1||| 62 52 1||| 62 51 1||| 62 51 1||| 

62 55 1||| 62 55 1||| 62 53 1||| 62 52 1||| 62 51 1||| 62 51 1||| 

62 55 1||| 62 55 1||| 62 54 1||| 62 52 1||| 62 51 1||| 62 51 1||| 

62 55 1||| 62 55 1||| 62 54 1||| 62 53 1||| 62 51 1||| 62 51 1||| 

62 56 1||| 62 55 1||| 62 54 1||| 62 53 1||| 62 51 1||| 62 51 1||| 

62 56 1||| 62 55 1||| 62 54 1||| 62 53 1||| 62 52 1||| 62 51 1||| 

62 56 1||| 62 55 1||| 62 54 1||| 62 53 1||| 62 53 1||| 62 51 1||| 

62 56 1||| 62 55 1||| 62 54 1||| 62 54 1||| 62 53 1||| 62 51 1||| 

62 56 1||| 62 56 1||| 62 54 1||| 62 54 1||| 62 53 1||| 62 51 1||| 

62 56 1||| 62 56 1||| 62 54 1||| 62 54 1||| 62 53 1||| 62 52 1||| 

62 56 1||| 62 56 1||| 62 55 1||| 62 54 1||| 62 53 1||| 62 52 1||| 

62 57 1||| 62 56 1||| 62 55 1||| 62 54 1||| 62 53 1||| 62 52 1||| 

62 57 1||| 62 57 1||| 62 55 1||| 62 54 1||| 62 53 1||| 62 52 1||| 

62 57 1||| 62 57 1||| 62 55 1||| 62 55 1||| 62 53 1||| 62 52 1||| 

62 58 1||| 62 57 1||| 62 55 1||| 62 55 1||| 62 53 1||| 62 52 1||| 

62 58 1||| 62 57 1||| 62 55 1||| 62 55 1||| 62 53 1||| 62 53 1||| 

62 58 1||| 62 57 1||| 62 55 1||| 62 55 1||| 62 54 1||| 62 53 1||| 

62 58 1||| 62 57 1||| 62 56 1||| 62 55 1||| 62 54 1||| 62 53 1||| 

62 58 1||| 62 57 1||| 62 56 1||| 62 55 1||| 62 54 1||| 62 54 1||| 

62 58 1||| 62 58 1||| 62 56 1||| 62 55 1||| 62 54 1||| 62 54 1||| 

62 58 1||| 62 58 1||| 62 56 1||| 62 56 1||| 62 54 1||| 62 54 1||| 

62 58 1||| 62 58 1||| 62 57 1||| 62 56 1||| 62 54 1||| 62 54 1||| 

62 58 1||| 62 58 1||| 62 57 1||| 62 56 1||| 62 55 1||| 62 54 1||| 

62 59 1||| 62 58 1||| 62 57 1||| 62 56 1||| 62 55 1||| 62 54 1||| 

62 60 1||| 62 58 1||| 62 57 1||| 62 56 1||| 62 55 1||| 62 54 1||| 

62 60 1||| 62 59 1||| 62 57 1||| 62 56 1||| 62 55 1||| 62 54 1||| 

62 60 1||| 62 59 1||| 62 57 1||| 62 57 1||| 62 55 1||| 62 54 1||| 

62 60 1||| 62 59 1||| 62 57 1||| 62 57 1||| 62 56 1||| 62 54 1||| 

62 60 1||| 62 59 1||| 62 57 1||| 62 57 1||| 62 56 1||| 62 55 1||| 

62 60 1||| 62 59 1||| 62 58 1||| 62 57 1||| 62 56 1||| 62 55 1||| 

62 60 1||| 62 60 1||| 62 58 1||| 62 57 1||| 62 56 1||| 62 55 1||| 

62 60 1||| 62 60 1||| 62 58 1||| 62 58 1||| 62 56 1||| 62 55 1||| 

62 60 1||| 62 60 1||| 62 58 1||| 62 58 1||| 62 57 1||| 62 55 1||| 

62 60 1||| 62 60 1||| 62 58 1||| 62 58 1||| 62 57 1||| 62 56 1||| 

62 60 1||| 62 60 1||| 62 59 1||| 62 58 1||| 62 57 1||| 62 56 1||| 

62 61 1||| 62 60 1||| 62 59 1||| 62 58 1||| 62 57 1||| 62 56 1||| 

62 62 1||| 62 60 1||| 62 59 1||| 62 58 1||| 62 57 1||| 62 56 1||| 

62 62 1||| 62 60 1||| 62 59 1||| 62 58 1||| 62 58 1||| 62 56 1||| 

62 62 1||| 62 61 1||| 62 59 1||| 62 58 1||| 62 58 1||| 62 56 1||| 

62 62 1||| 62 61 1||| 62 60 1||| 62 58 1||| 62 58 1||| 62 56 1||| 

62 62 1||| 62 61 1||| 62 60 1||| 62 59 1||| 62 58 1||| 62 56 1||| 

62 62 1||| 62 61 1||| 62 60 1||| 62 59 1||| 62 58 1||| 62 57 1||| 

62 63 -1||| 62 61 1||| 62 60 1||| 62 59 1||| 62 58 1||| 62 57 1||| 

62 63 -1||| 62 61 1||| 62 60 1||| 62 59 1||| 62 58 1||| 62 58 1||| 

62 63 -1||| 62 61 1||| 62 61 1||| 62 59 1||| 62 58 1||| 62 58 1||| 

62 63 -1||| 62 61 1||| 62 61 1||| 62 59 1||| 62 59 1||| 62 58 1||| 

62 63 -1||| 62 62 1||| 62 61 1||| 62 59 1||| 62 59 1||| 62 58 1||| 

34 63 -1||| 62 62 1||| 62 61 1||| 62 60 1||| 62 59 1||| 62 58 1||| 

34 63 -1||| 62 62 1||| 62 62 1||| 62 60 1||| 62 59 1||| 62 58 1||| 

34 63 -1||| 62 62 1||| 62 62 1||| 62 60 1||| 62 60 1||| 62 58 1||| 

34 63 -1||| 62 63 -1||| 62 62 1||| 62 60 1||| 62 60 1||| 62 58 1||| 

34 63 -1||| 62 63 -1||| 62 62 1||| 62 61 1||| 62 60 1||| 62 58 1||| 

34 32 -1||| 62 63 -1||| 62 62 1||| 62 61 1||| 62 60 1||| 62 58 1||| 

34 32 -1||| 34 63 -1||| 62 62 1||| 62 61 1||| 62 60 1||| 62 59 1||| 

34 33 -1||| 34 63 -1||| 62 62 1||| 62 61 1||| 62 60 1||| 62 59 1||| 

34 33 -1||| 34 63 -1||| 62 62 1||| 62 62 1||| 62 60 1||| 62 59 1||| 

34 33 -1||| 34 63 -1||| 62 62 1||| 62 62 1||| 62 61 1||| 62 59 1||| 

34 33 -1||| 34 32 -1||| 62 62 1||| 62 62 1||| 62 61 1||| 62 59 1||| 

34 33 -1||| 34 32 -1||| 62 63 -1||| 62 62 1||| 62 61 1||| 62 59 1||| 

34 33 -1||| 34 32 -1||| 33 63 -1||| 62 62 1||| 62 61 1||| 62 60 1||| 

34 33 -1||| 34 32 -1||| 33 63 -1||| 62 62 1||| 62 61 1||| 62 61 1||| 

34 33 -1||| 34 33 -1||| 33 63 -1||| 62 62 1||| 62 61 1||| 62 61 1||| 

34 33 -1||| 34 33 -1||| 33 32 -1||| 62 62 1||| 62 61 1||| 62 61 1||| 

34 33 -1||| 34 33 -1||| 33 32 -1||| 62 63 -1||| 62 61 1||| 62 61 1||| 

34 33 -1||| 34 33 -1||| 33 32 -1||| 62 63 -1||| 62 62 1||| 62 61 1||| 

34 34 -1||| 34 33 -1||| 33 32 -1||| 33 63 -1||| 62 62 1||| 62 61 1||| 

62 35 1||| 34 33 -1||| 33 32 -1||| 33 63 -1||| 62 62 1||| 62 61 1||| 

62 35 1||| 34 33 -1||| 33 33 -1||| 33 63 -1||| 62 62 1||| 62 61 1||| 

62 35 1||| 34 33 -1||| 33 33 -1||| 33 63 -1||| 62 63 -1||| 62 61 1||| 

62 35 1||| 34 34 -1||| 33 33 -1||| 33 63 -1||| 62 63 -1||| 62 61 1||| 

62 35 1||| 34 34 -1||| 33 33 -1||| 33 63 -1||| 62 63 -1||| 62 62 1||| 

62 35 1||| 34 34 -1||| 33 33 -1||| 33 32 -1||| 32 63 -1||| 62 62 1||| 

62 35 1||| 34 34 -1||| 33 33 -1||| 33 33 -1||| 32 63 -1||| 62 62 1||| 

62 35 1||| 34 34 -1||| 33 33 -1||| 33 33 -1||| 32 63 -1||| 62 63 -1||| 

62 35 1||| 34 34 -1||| 33 33 -1||| 33 33 -1||| 32 32 -1||| 62 63 -1||| 

62 35 1||| 62 35 1||| 33 33 -1||| 33 33 -1||| 32 32 -1||| 62 63 -1||| 

62 35 1||| 62 35 1||| 62 34 1||| 33 33 -1||| 32 32 -1||| 62 63 -1||| 

62 36 1||| 62 35 1||| 62 34 1||| 33 33 -1||| 32 32 -1||| 39 63 -1||| 

62 36 1||| 62 35 1||| 62 34 1||| 33 33 -1||| 62 33 1||| 39 63 -1||| 

62 36 1||| 62 35 1||| 62 35 1||| 33 33 -1||| 62 33 1||| 39 63 -1||| 

62 36 1||| 62 36 1||| 62 35 1||| 33 33 -1||| 62 33 1||| 39 63 -1||| 

62 37 1||| 62 36 1||| 62 35 1||| 33 33 -1||| 62 33 1||| 39 63 -1||| 

62 37 1||| 62 36 1||| 62 35 1||| 62 34 1||| 62 33 1||| 39 63 -1||| 

62 37 1||| 62 36 1||| 62 35 1||| 62 34 1||| 62 33 1||| 39 32 -1||| 

62 37 1||| 62 36 1||| 62 35 1||| 62 34 1||| 62 33 1||| 39 33 -1||| 

62 38 1||| 62 36 1||| 62 35 1||| 62 34 1||| 62 33 1||| 39 33 -1||| 

62 38 1||| 62 37 1||| 62 35 1||| 62 34 1||| 62 33 1||| 39 33 -1||| 

62 38 1||| 62 37 1||| 62 35 1||| 62 35 1||| 62 33 1||| 39 33 -1||| 

62 38 1||| 62 37 1||| 62 36 1||| 62 35 1||| 62 33 1||| 39 33 -1||| 

62 38 1||| 62 37 1||| 62 36 1||| 62 35 1||| 62 34 1||| 39 33 -1||| 

62 38 1||| 62 37 1||| 62 37 1||| 62 35 1||| 62 34 1||| 39 33 -1||| 

62 38 1||| 62 37 1||| 62 37 1||| 62 35 1||| 62 34 1||| 39 34 -1||| 

62 38 1||| 62 38 1||| 62 37 1||| 62 35 1||| 62 34 1||| 39 34 -1||| 

62 39 1||| 62 38 1||| 62 37 1||| 62 35 1||| 62 34 1||| 39 34 -1||| 

62 39 1||| 62 38 1||| 62 37 1||| 62 35 1||| 62 35 1||| 39 34 -1||| 

62 39 1||| 62 38 1||| 62 37 1||| 62 36 1||| 62 35 1||| 39 34 -1||| 

62 39 1||| 62 38 1||| 62 37 1||| 62 36 1||| 62 35 1||| 39 35 -1||| 

62 40 1||| 62 38 1||| 62 37 1||| 62 36 1||| 62 35 1||| 39 35 -1||| 

62 40 1||| 62 38 1||| 62 38 1||| 62 36 1||| 62 35 1||| 39 35 -1||| 

62 40 1||| 62 38 1||| 62 38 1||| 62 37 1||| 62 35 1||| 39 35 -1||| 

62 40 1||| 62 39 1||| 62 38 1||| 62 37 1||| 62 35 1||| 39 35 -1||| 

62 40 1||| 62 39 1||| 62 38 1||| 62 37 1||| 62 36 1||| 39 35 -1||| 

62 40 1||| 62 39 1||| 62 38 1||| 62 38 1||| 62 36 1||| 39 35 -1||| 

62 40 1||| 62 39 1||| 62 38 1||| 62 38 1||| 62 36 1||| 39 36 -1||| 

62 41 1||| 62 39 1||| 62 38 1||| 62 38 1||| 62 36 1||| 39 36 -1||| 

62 41 1||| 62 39 1||| 62 38 1||| 62 38 1||| 62 37 1||| 39 36 -1||| 

62 41 1||| 62 40 1||| 62 38 1||| 62 38 1||| 62 37 1||| 39 36 -1||| 

62 41 1||| 62 40 1||| 62 39 1||| 62 38 1||| 62 37 1||| 39 36 -1||| 

62 41 1||| 62 41 1||| 62 39 1||| 62 38 1||| 62 37 1||| 39 36 -1||| 

62 41 1||| 62 41 1||| 62 39 1||| 62 38 1||| 62 37 1||| 39 37 -1||| 

62 41 1||| 62 41 1||| 62 39 1||| 62 38 1||| 62 38 1||| 39 37 -1||| 

62 41 1||| 62 41 1||| 62 39 1||| 62 39 1||| 62 38 1||| 39 37 -1||| 

62 41 1||| 62 41 1||| 62 40 1||| 62 39 1||| 62 38 1||| 39 37 -1||| 

62 42 1||| 62 41 1||| 62 40 1||| 62 39 1||| 62 38 1||| 39 37 -1||| 

62 42 1||| 62 41 1||| 62 40 1||| 62 39 1||| 62 38 1||| 39 38 -1||| 

62 42 1||| 62 42 1||| 62 40 1||| 62 39 1||| 62 38 1||| 39 38 -1||| 

62 43 1||| 62 42 1||| 62 40 1||| 62 39 1||| 62 38 1||| 39 38 -1||| 

62 43 1||| 62 42 1||| 62 40 1||| 62 39 1||| 62 39 1||| 39 38 -1||| 

62 43 1||| 62 42 1||| 62 41 1||| 62 39 1||| 62 39 1||| 39 38 -1||| 

62 43 1||| 62 42 1||| 62 41 1||| 62 40 1||| 62 39 1||| 39 38 -1||| 

62 43 1||| 62 42 1||| 62 41 1||| 62 40 1||| 62 40 1||| 39 38 -1||| 

62 43 1||| 62 42 1||| 62 41 1||| 62 41 1||| 62 40 1||| 39 38 -1||| 

62 43 1||| 62 42 1||| 62 42 1||| 62 41 1||| 62 40 1||| 39 38 -1||| 

62 43 1||| 62 43 1||| 62 42 1||| 62 41 1||| 62 40 1||| 39 38 -1||| 

62 43 1||| 62 43 1||| 62 42 1||| 62 41 1||| 62 40 1||| 39 39 -1||| 

62 44 1||| 62 43 1||| 62 42 1||| 62 41 1||| 62 40 1||| 39 39 -1||| 

62 44 1||| 62 43 1||| 62 42 1||| 62 41 1||| 62 41 1||| 39 39 -1||| 

62 45 1||| 62 43 1||| 62 42 1||| 62 41 1||| 62 41 1||| 39 39 -1||| 

62 45 1||| 62 43 1||| 62 42 1||| 62 42 1||| 62 41 1||| 39 39 -1||| 

62 45 1||| 62 43 1||| 62 43 1||| 62 42 1||| 62 41 1||| 39 39 -1||| 

62 45 1||| 62 44 1||| 62 43 1||| 62 42 1||| 62 41 1||| 39 39 -1||| 

62 45 1||| 62 44 1||| 62 43 1||| 62 42 1||| 62 41 1||| 62 40 1||| 

62 45 1||| 62 45 1||| 62 43 1||| 62 42 1||| 62 41 1||| 62 40 1||| 

62 45 1||| 62 45 1||| 62 43 1||| 62 42 1||| 62 42 1||| 62 40 1||| 

62 45 1||| 62 45 1||| 62 43 1||| 62 42 1||| 62 42 1||| 62 41 1||| 

62 46 1||| 62 45 1||| 62 43 1||| 62 42 1||| 62 42 1||| 62 41 1||| 

62 46 1||| 62 45 1||| 62 44 1||| 62 42 1||| 62 42 1||| 62 41 1||| 

62 46 1||| 62 45 1||| 62 44 1||| 62 43 1||| 62 42 1||| 62 41 1||| 

62 47 1||| 62 45 1||| 62 44 1||| 62 43 1||| 62 42 1||| 62 41 1||| 

62 47 1||| 62 46 1||| 62 44 1||| 62 43 1||| 62 42 1||| 62 41 1||| 

62 47 1||| 62 46 1||| 62 44 1||| 62 43 1||| 62 42 1||| 62 42 1||| 

62 47 1||| 62 46 1||| 62 45 1||| 62 43 1||| 62 42 1||| 62 42 1||| 

62 47 1||| 62 46 1||| 62 45 1||| 62 44 1||| 62 42 1||| 62 42 1||| 

62 47 1||| 62 46 1||| 62 45 1||| 62 44 1||| 62 43 1||| 62 42 1||| 

62 47 1||| 62 46 1||| 62 45 1||| 62 44 1||| 62 44 1||| 62 42 1||| 

62 47 1||| 62 46 1||| 62 46 1||| 62 44 1||| 62 44 1||| 62 42 1||| 

62 47 1||| 62 46 1||| 62 46 1||| 62 44 1||| 62 44 1||| 62 43 1||| 

62 47 1||| 62 47 1||| 62 46 1||| 62 44 1||| 62 44 1||| 62 43 1||| 

62 47 1||| 62 47 1||| 62 46 1||| 62 45 1||| 62 44 1||| 62 43 1||| 

62 48 1||| 62 47 1||| 62 46 1||| 62 45 1||| 62 44 1||| 62 43 1||| 

62 49 1||| 62 47 1||| 62 46 1||| 62 45 1||| 62 44 1||| 62 43 1||| 

62 49 1||| 62 47 1||| 62 47 1||| 62 45 1||| 62 44 1||| 62 43 1||| 

62 49 1||| 62 47 1||| 62 47 1||| 62 45 1||| 62 45 1||| 62 43 1||| 

62 49 1||| 62 47 1||| 62 47 1||| 62 45 1||| 62 45 1||| 62 44 1||| 

62 49 1||| 62 48 1||| 62 47 1||| 62 45 1||| 62 45 1||| 62 44 1||| 

62 49 1||| 62 48 1||| 62 47 1||| 62 46 1||| 62 45 1||| 62 44 1||| 

62 49 1||| 62 48 1||| 62 47 1||| 62 47 1||| 62 45 1||| 62 44 1||| 

62 49 1||| 62 49 1||| 62 47 1||| 62 47 1||| 62 45 1||| 62 44 1||| 

62 49 1||| 62 49 1||| 62 48 1||| 62 47 1||| 62 45 1||| 62 44 1||| 

62 50 1||| 62 49 1||| 62 48 1||| 62 47 1||| 62 45 1||| 62 44 1||| 

62 50 1||| 62 49 1||| 62 48 1||| 62 47 1||| 62 45 1||| 62 45 1||| 

62 50 1||| 62 49 1||| 62 48 1||| 62 47 1||| 62 46 1||| 62 45 1||| 

62 50 1||| 62 49 1||| 62 48 1||| 62 48 1||| 62 46 1||| 62 45 1||| 

62 50 1||| 62 49 1||| 62 49 1||| 62 48 1||| 62 46 1||| 62 45 1||| 

62 50 1||| 62 49 1||| 62 49 1||| 62 48 1||| 62 47 1||| 62 45 1||| 

62 51 1||| 62 49 1||| 62 49 1||| 62 48 1||| 62 47 1||| 62 45 1||| 

62 51 1||| 62 49 1||| 62 49 1||| 62 48 1||| 62 47 1||| 62 46 1||| 

62 51 1||| 62 50 1||| 62 49 1||| 62 48 1||| 62 47 1||| 62 46 1||| 

62 52 1||| 62 50 1||| 62 49 1||| 62 48 1||| 62 47 1||| 62 46 1||| 

62 52 1||| 62 50 1||| 62 49 1||| 62 49 1||| 62 47 1||| 62 46 1||| 

62 52 1||| 62 51 1||| 62 49 1||| 62 49 1||| 62 47 1||| 62 46 1||| 

62 52 1||| 62 51 1||| 62 50 1||| 62 49 1||| 62 47 1||| 62 46 1||| 

62 52 1||| 62 51 1||| 62 50 1||| 62 49 1||| 62 47 1||| 62 47 1||| 

62 52 1||| 62 51 1||| 62 50 1||| 62 49 1||| 62 48 1||| 62 47 1||| 

62 52 1||| 62 52 1||| 62 50 1||| 62 49 1||| 62 48 1||| 62 47 1||| 

62 52 1||| 62 52 1||| 62 50 1||| 62 49 1||| 62 48 1||| 62 48 1||| 

62 52 1||| 62 52 1||| 62 51 1||| 62 49 1||| 62 48 1||| 62 48 1||| 

62 52 1||| 62 52 1||| 62 51 1||| 62 50 1||| 62 48 1||| 62 48 1||| 

62 53 1||| 62 52 1||| 62 51 1||| 62 50 1||| 62 48 1||| 62 48 1||| 

62 53 1||| 62 52 1||| 62 51 1||| 62 50 1||| 62 49 1||| 62 48 1||| 

62 53 1||| 62 53 1||| 62 51 1||| 62 50 1||| 62 49 1||| 62 48 1||| 

62 53 1||| 62 53 1||| 62 51 1||| 62 50 1||| 62 50 1||| 62 48 1||| 

62 53 1||| 62 53 1||| 62 51 1||| 62 50 1||| 62 50 1||| 62 49 1||| 

