TIME  COMMAND  CELL  BOXTYPE  CHANNEL BOTID
------------------------------------------
   0 startPalletize #1
  70 startMotion   B9        6  120    6
  72 endMotion    B15       -1    0    1
  72 endMotion    B12       -1    3    4
  72 endMotion    B14       -1    1    2
  72 endMotion    B13       -1    2    3
  73 startMotion  B12       -1    3    4
  73 startMotion  B13       -1    2    3
  73 startMotion  B14       -1    1    2
  73 startMotion  B15       -1    0    1
  74 endMotion    B10        6  120    6
  74 endMotion    B11        1   60    5
  75 startMotion  B11        1   60    5
  75 startMotion  B10        6  120    6
  77 endMotion    B13       -1    3    4
  77 endMotion    B14       -1    2    3
  77 endMotion    B15       -1    1    2
  78 startMotion  B13       -1    3    4
  78 startMotion  B15       -1    1    2
  78 startMotion  B14       -1    2    3
  79 endMotion    B11        6  120    6
  79 movebox2bot             1    0    1
  79 endMotion    B16        1    0    1
  79 endMotion    B12        1   60    5
  80 startMotion  B11        6  120    6
  80 startMotion  B12        1   60    5
  80 startMotion  B16        1    0    1
  81 endMotion    A16        1    0    1
  82 startMotion  A16        1    0    1
  82 endMotion    B15       -1    2    3
  82 endMotion    B14       -1    3    4
  83 startMotion  B14       -1    3    4
  83 startMotion  B15       -1    2    3
  84 endMotion    B13        1   60    5
  84 endMotion    B12        6  120    6
  84 movebox2bot             2    1    2
  84 endMotion    B16        2    1    2
  85 startMotion  B13        1   60    5
  85 startMotion  B12        6  120    6
  85 startMotion  B16        2    1    2
  86 endMotion    A15        1    0    1
  86 endMotion    A16        2    1    2
  87 startMotion  A16        2    1    2
  87 endMotion    B15       -1    3    4
  87 startMotion  A15        1    0    1
  88 startMotion  B15       -1    3    4
  89 endMotion    B13        6  120    6
  89 endMotion    B14        1   60    5
  89 movebox2bot             3    2    3
  89 endMotion    B16        3    2    3
  90 startMotion  B13        6  120    6
  90 startMotion  B14        1   60    5
  90 startMotion  B16        3    2    3
  91 endMotion    A14        1    0    1
  91 endMotion    A16        3    2    3
  91 endMotion    A15        2    1    2
  92 startMotion  A14        1    0    1
  92 startMotion  A15        2    1    2
  92 startMotion  A16        3    2    3
  94 movebox2bot             4    3    4
  94 endMotion    B16        4    3    4
  94 endMotion    B15        1   60    5
  94 endMotion    B14        6  120    6
  95 startMotion  B16        4    3    4
  95 startMotion  B14        6  120    6
  95 startMotion  B15        1   60    5
  96 endMotion    A14        2    1    2
  96 endMotion    A13        1    0    1
  96 endMotion    A15        3    2    3
  96 endMotion    A16        4    3    4
  97 startMotion  A14        2    1    2
  97 startMotion  A16        4    3    4
  97 startMotion  A13        1    0    1
  97 startMotion  A15        3    2    3
  99 endMotion    B16        1   60    5
  99 endMotion    B15        6  120    6
 100 startMotion  B15        6  120    6
 100 startMotion  B16        1   60    5
 101 endMotion    A14        3    2    3
 101 endMotion    A15        4    3    4
 101 endMotion    A13        2    1    2
 101 endMotion    A12        1    0    1
 102 startMotion  A13        2    1    2
 102 startMotion  A14        3    2    3
 102 startMotion  A12        1    0    1
 102 startMotion  A15        4    3    4
 104 endMotion    B16        6  120    6
 105 endMotion    C16        1   60    5
 105 startMotion  B16        6  120    6
 106 endMotion    A11        1    0    1
 106 endMotion    A13        3    2    3
 106 startMotion  C16        1   60    5
 106 endMotion    A14        4    3    4
 106 endMotion    A16        6  120    6
 106 endMotion    A12        2    1    2
 107 startMotion  A11        1    0    1
 107 startMotion  A16        6  120    6
 107 startMotion  A13        3    2    3
 107 startMotion  A14        4    3    4
 107 startMotion  A12        2    1    2
 110 endMotion    C15        1   60    5
 111 endMotion    A13        4    3    4
 111 endMotion    A10        1    0    1
 111 startMotion  C15        1   60    5
 111 endMotion    A11        2    1    2
 111 endMotion    A12        3    2    3
 111 endMotion    A15        6  120    6
 112 startMotion  A10        1    0    1
 112 startMotion  A13        4    3    4
 112 startMotion  A11        2    1    2
 112 startMotion  A15        6  120    6
 112 startMotion  A12        3    2    3
 115 endMotion    C14        1   60    5
 116 endMotion    A10        2    1    2
 116 endMotion     A9        1    0    1
 116 endMotion    A11        3    2    3
 116 endMotion    A14        6  120    6
 116 endMotion    A12        4    3    4
 116 startMotion  C14        1   60    5
 117 startMotion  A14        6  120    6
 117 startMotion  A11        3    2    3
 117 startMotion   A9        1    0    1
 117 startMotion  A10        2    1    2
 117 startMotion  A12        4    3    4
