 RecId   Time             Action              PalletID PalletTypeID
   148  11606   StartDepalletize                    69           12 CNT4
   149  11775    finishPalletize  1111141001011149555
           #1
   150  11775     startPalletize   1111141001011149553
           #1
   151  11842  finishDepalletize                    69           12
   152  11843   StartDepalletize                    70           13 CNT4
   153  12020  finishDepalletize                    70           13
   154  12021   StartDepalletize                    71           14 CNT4
   155  12102  finishDepalletize                    71           14
   156  12103   StartDepalletize                    72           16 CNT4
   157  12253  finishDepalletize                    72           16
   158  12254   StartDepalletize                    73           17 CNT4
   159  12329  finishDepalletize                    73           17
   160  12330   StartDepalletize                    74           18 CNT4
   161  12407  finishDepalletize                    74           18
   162  12408   StartDepalletize                    75           19 CNT5
   163  12588  finishDepalletize                    75           19
   164  12589   StartDepalletize                    76           20 CNT5
   165  12662  finishDepalletize                    76           20
   166  12663   StartDepalletize                    77           21 CNT5
   167  12853  finishDepalletize                    77           21
   168  12854   StartDepalletize                    78           22 CNT6
   169  13030  finishDepalletize                    78           22
   170  13031   StartDepalletize                    79           23 CNT6
   171  13213  finishDepalletize                    79           23
   172  13214   StartDepalletize                    80           24 CNT5
   173  13362  finishDepalletize                    80           24
   174  13363   StartDepalletize                    81           25 CNT5
   175  13510    finishPalletize  1111141001011149553
           #1
   176  13510     startPalletize 111114100101114954948
           #1
   177  13516  finishDepalletize                    81           25
   178  13517   StartDepalletize                    82           28 CNT5
   179  13650  finishDepalletize                    82           28
   180  13651   StartDepalletize                    83           29 CNT5
   181  13779  finishDepalletize                    83           29
   182  13780   StartDepalletize                    84           30 CNT5
   183  13891  finishDepalletize                    84           30
   184  13892   StartDepalletize                    85            8 CNT4
   185  14017  finishDepalletize                    85            8
   186  14018   StartDepalletize                    86           31 CNT5
   187  14151  finishDepalletize                    86           31
   188  14152   StartDepalletize                    87           32 CNT5
   189  14307  finishDepalletize                    87           32
   190  14308   StartDepalletize                    88           34 CNT5
   191  14403  finishDepalletize                    88           34
   192  14404   StartDepalletize                    89           35 CNT5
   193  14565  finishDepalletize                    89           35
   194  14566   StartDepalletize                    90           36 CNT5
   195  14667  finishDepalletize                    90           36
   196  14668   StartDepalletize                    91           37 CNT5
   197  14815  finishDepalletize                    91           37
   198  14816   StartDepalletize                    92           38 CNT5
   199  14933  finishDepalletize                    92           38
   200  14934   StartDepalletize                    93           39 CNT6
   201  15105  finishDepalletize                    93           39
   202  15106   StartDepalletize                    94           40 CNT6
   203  15278    finishPalletize 111114100101114954948
           #1
   204  15278     startPalletize 111114100101114954949
           #1
   205  15278  finishDepalletize                    94           40
   206  15279   StartDepalletize                    95           41 CNT8
   207  15489  finishDepalletize                    95           41
   208  15490   StartDepalletize                    96           42 CNT6
   209  15641  finishDepalletize                    96           42
   210  15642   StartDepalletize                    97           43 CNT6
   211  15729  finishDepalletize                    97           43
   212  15730   StartDepalletize                    98           44 CNT6
   213  15863  finishDepalletize                    98           44
   214  15864   StartDepalletize                    99           45 CNT6
   215  15965  finishDepalletize                    99           45
   216  15966   StartDepalletize                   100           46 CNT7
   217  16165  finishDepalletize                   100           46
   218  16166   StartDepalletize                   101            9 CNT4
   219  16260  finishDepalletize                   101            9
   220  16261   StartDepalletize                   102           16 CNT4
   221  16383  finishDepalletize                   102           16
   222  16384   StartDepalletize                   103           47 CNT7
   223  16541  finishDepalletize                   103           47
   224  16542   StartDepalletize                   104           48 CNT6
   225  16681  finishDepalletize                   104           48
   226  16682   StartDepalletize                   105           49 CNT4
   227  16774  finishDepalletize                   105           49
   228  16775   StartDepalletize                   106           50 CNT6
   229  16947  finishDepalletize                   106           50
   230  17024   StartDepalletize                   107           33 CNT4
   231  17296  finishDepalletize                   107           33
   232  17355   StartDepalletize                   108           20 CNT4
   233  17416    finishPalletize 111114100101114954949
           #1
   234  17416     startPalletize   1111141001011149552
           #1
   235  17655  finishDepalletize                   108           20
   236  17656   StartDepalletize                   109            1 CNT4
   237  17841  finishDepalletize                   109            1
   238  17842   StartDepalletize                   110            2 CNT4
   239  18000  finishDepalletize                   110            2
   240  18001   StartDepalletize                   111            3 CNT4
   241  18140  finishDepalletize                   111            3
   242  18141   StartDepalletize                   112            5 CNT4
   243  18268  finishDepalletize                   112            5
   244  18269   StartDepalletize                   113            6 CNT4
   245  18408  finishDepalletize                   113            6
   246  18409   StartDepalletize                   114            7 CNT4
   247  18560  finishDepalletize                   114            7
   248  18561   StartDepalletize                   115            9 CNT4
   249  18719  finishDepalletize                   115            9
   250  18720   StartDepalletize                   116           10 CNT4
   251  18847  finishDepalletize                   116           10
   252  18848   StartDepalletize                   117           11 CNT4
   253  18981  finishDepalletize                   117           11
   254  18982   StartDepalletize                   118           12 CNT7
   255  19163  finishDepalletize                   118           12
   256  19164   StartDepalletize                   119           13 CNT4
   257  19274  finishDepalletize                   119           13
   258  19275   StartDepalletize                   120           15 CNT4
   259  19436  finishDepalletize                   120           15
   260  19437   StartDepalletize                   121           17 CNT4
   261  19525    finishPalletize  1111141001011149552
           #1
   262  19525     startPalletize 111114100101114954953
           #1
   263  19567  finishDepalletize                   121           17
   264  19568   StartDepalletize                   122           26 CNT4
   265  19704  finishDepalletize                   122           26
   266  19705   StartDepalletize                   123           27 CNT4
   267  19856  finishDepalletize                   123           27
   268  19857   StartDepalletize                   124            4 CNT4
   269  20072  finishDepalletize                   124            4
   270  20073   StartDepalletize                   125           29 CNT5
   271  20358  finishDepalletize                   125           29
   272  20359   StartDepalletize                   126            9 CNT6
   273  20514  finishDepalletize                   126            9
   274  20515   StartDepalletize                   127           25 CNT4
   275  20647  finishDepalletize                   127           25
   276  20648   StartDepalletize                   128           14 CNT4
   277  20865  finishDepalletize                   128           14
   278  20866   StartDepalletize                   129           18 CNT4
   279  20955  finishDepalletize                   129           18
   280  20956   StartDepalletize                   130           19 CNT4
   281  21055  finishDepalletize                   130           19
   282  21056   StartDepalletize                   131           16 CNT4
   283  21255  finishDepalletize                   131           16
   284  21256   StartDepalletize                   132           21 CNT4
   285  21407  finishDepalletize                   132           21
   286  21408   StartDepalletize                   133           23 CNT4
   287  21553  finishDepalletize                   133           23
   288  21554   StartDepalletize                   134           24 CNT4
   289  21693  finishDepalletize                   134           24
   290  21694   StartDepalletize                   135           28 CNT4
   291  21833  finishDepalletize                   135           28
   292  21834   StartDepalletize                   136           22 CNT4
   293  21852    finishPalletize 111114100101114954953
           #1
   294  21852     startPalletize 111114100101114954952
           #1
   295  21967  finishDepalletize                   136           22
   296  21968   StartDepalletize                   137           30 CNT4
   297  22135  finishDepalletize                   137           30
   298  22136   StartDepalletize                   138            8 CNT4
   299  22328  finishDepalletize                   138            8
   300  22329   StartDepalletize                   139           31 CNT4
   301  22504  finishDepalletize                   139           31
   302  22505   StartDepalletize                   140           32 CNT4
   303  22648  finishDepalletize                   140           32
   304  22649   StartDepalletize                   141           34 CNT6
