   1      0   movebox    7   channel     6    channellen   2    |   -   |   -   |   -   |   -   |   -   |   -   |  7   2|  2   2|
   1      0   movebox    8   channel     7    channellen   3    |   -   |   -   |   -   |   -   |   -   |   -   |  8   3|  3   3|
   1      0   movebox   14   channel     8    channellen   4    |   -   |   -   |   -   |   -   |   -   |   -   | 14   4|  4   4|
   1      0   movebox   14   channel     9    channellen   5    |   -   |   -   |   -   |   -   |   -   |   -   | 14   4|  4   4|
   1      0   movebox    6   channel    10    channellen   1    |   -   |   -   |   -   |   -   |   -   |   -   |  6   1|  1   1|
   1      0   movebox    7   channel    11    channellen   2    |   -   |   -   |   -   |   -   |   -   |   -   |  7   2|  2   2|
   1      0   movebox    8   channel    12    channellen   3    |   -   |   -   |   -   |   -   |   -   |   -   |  8   3|  3   3|
   1      0   movebox   19   channel    13    channellen   4    |   -   |   -   |   -   |   -   |   -   |   -   | 19   4|  4   4|
   1      0   movebox   19   channel    14    channellen   5    |   -   |   -   |   -   |   -   |   -   |   -   | 19   4|  4   4|
   1      0   movebox    6   channel    15    channellen   1    |   -   |   -   |   -   |   -   |   -   |   -   |  6   1|  1   1|
   1      0   movebox    7   channel    16    channellen   2    |   -   |   -   |   -   |   -   |   -   |   -   |  7   2|  2   2|
   1      0   movebox    8   channel    17    channellen   3    |   -   |   -   |   -   |   -   |   -   |   -   |  8   3|  3   3|
   1      0   movebox   19   channel    18    channellen   4    |   -   |   -   |   -   |   -   |   -   |   -   | 19   4|  4   4|
   1      0   movebox   19   channel    19    channellen   5    |   -   |   -   |   -   |   -   |   -   |   -   | 19   4|  4   4|
   1      0   movebox    6   channel    20    channellen   1    |   -   |   -   |   -   |   -   |   -   |   -   |  6   1|  1   1|
   1      0   movebox    7   channel    21    channellen   2    |   -   |   -   |   -   |   -   |   -   |   -   |  7   2|  2   2|
   1      0   movebox    8   channel    22    channellen   3    |   -   |   -   |   -   |   -   |   -   |   -   |  8   3|  3   3|
   1      0   movebox   19   channel    23    channellen   4    |   -   |   -   |   -   |   -   |   -   |   -   | 19   4|  9   4|
   1      0   movebox   19   channel    24    channellen   5    |   -   |   -   |   -   |   -   |   -   |   -   | 19   4|  9   4|
   1      0   movebox    6   channel    25    channellen   1    |   -   |   -   |   -   |   -   |   -   |   -   |  6   1|  1   1|
   1      0   movebox    7   channel    26    channellen   2    |   -   |   -   |   -   |   -   |   -   |   -   |  7   2|  2   2|
   1      0   movebox    8   channel    27    channellen   3    |   -   |   -   |   -   |   -   |   -   |   -   |  8   3|  3   3|
   1      0   movebox   19   channel    28    channellen   4    |   -   |   -   |   -   |   -   |   -   |   -   | 19   4|  9   4|
   1      0   movebox   19   channel    29    channellen   5    |   -   |   -   |   -   |   -   |   -   |   -   | 19   4|  9   4|
   1      0   movebox   11   channel    30    channellen   1    |   -   |   -   |   -   |   -   |   -   |   -   | 11   1|  1   1|
   1      0   movebox   12   channel    31    channellen   2    |   -   |   -   |   -   |   -   |   -   |   -   | 12   2|  2   2|
   1      0   movebox   13   channel    32    channellen   3    |   -   |   -   |   -   |   -   |   -   |   -   | 13   3|  3   3|
   1      0   movebox   24   channel    33    channellen   4    |   -   |   -   |   -   |   -   |   -   |   -   | 24   4|  9   4|
   1      0   movebox   24   channel    34    channellen   5    |   -   |   -   |   -   |   -   |   -   |   -   | 24   4|  9   4|
   1      0   movebox   11   channel    35    channellen   1    |   -   |   -   |   -   |   -   |   -   |   -   | 11   1|  1   1|
   1      0   movebox   12   channel    36    channellen   2    |   -   |   -   |   -   |   -   |   -   |   -   | 12   2|  2   2|
   1      0   movebox   13   channel    37    channellen   3    |   -   |   -   |   -   |   -   |   -   |   -   | 13   3|  3   3|
   1      0   movebox   24   channel    38    channellen   4    |   -   |   -   |   -   |   -   |   -   |   -   | 24   4|  9   4|
   1      0   movebox   24   channel    39    channellen   5    |   -   |   -   |   -   |   -   |   -   |   -   | 24   4|  9   4|
   1      0   movebox   11   channel    40    channellen   1    |   -   |   -   |   -   |   -   |   -   |   -   | 11   1|  6   1|
   1      0   movebox   12   channel    41    channellen   2    |   -   |   -   |   -   |   -   |   -   |   -   | 12   2|  7   2|
   1      0   movebox   13   channel    42    channellen   3    |   -   |   -   |   -   |   -   |   -   |   -   | 13   3|  8   3|
   1      0   movebox   24   channel    43    channellen   4    |   -   |   -   |   -   |   -   |   -   |   -   | 24   4| 14   4|
   1      0   movebox   24   channel    44    channellen   5    |   -   |   -   |   -   |   -   |   -   |   -   | 24   4| 14   4|
   1      0   movebox   11   channel    45    channellen   1    |   -   |   -   |   -   |   -   |   -   |   -   | 11   1|  6   1|
   1      0   movebox   12   channel    46    channellen   2    |   -   |   -   |   -   |   -   |   -   |   -   | 12   2|  7   2|
   1      0   movebox   13   channel    47    channellen   3    |   -   |   -   |   -   |   -   |   -   |   -   | 13   3|  8   3|
   1      0   movebox   24   channel    48    channellen   4    |   -   |   -   |   -   |   -   |   -   |   -   | 24   4| 14   4|
